В Уфе 5-летнюю девочку зажало в духовке  Пришлось вмешаться спасателям  Видео спасения малышки: http://ufacitynews.ru/news/2019/01/30/v-ufe-5-letnyuyu-devochku-zazhalo-v-duhovke/№%:№%:2019-01-30 18:10:03№%:№%:23967044
Студент на перепутье  Что делать, если ты заканчиваешь вуз, а работать по специальности не хочется? Если бы можно было провернуть фарш назад, что выбрали бы сегодняшние выпускники?  https://likes.ru/ufa/reviews/1117-student-na-pereputie№%:№%:2019-01-30 17:50:00№%:№%:23967044
Уфимские власти обратились к собственникам жилья    Оказывается, им нужно поторопиться с оформлением документов:    http://ufatime.ru/news/2019/01/30/v-svyazi-s-prohodyashej-inventarizaciej-vlasti-ufy-obratilis-k-vladelcam-domov/№%:№%:2019-01-30 17:30:02№%:№%:23967044
В Уфе прикрыли мошенников, обещавших высокую прибыль  Экс-директору предъявлено обвинение.  https://www.kommersant.ru/doc/3868095№%:№%:2019-01-30 17:10:00№%:№%:23967044
«Это очень плохая логика»: профессор башкирской Академии Наук пожаловался на транспортный коллапс в Уфе    По словам специалиста, предстоящее сокращение автобусов приведет к очень плохим последствиям.    Подробнее: https://vk.cc/8Z0fWz№%:№%:2019-01-30 16:50:00№%:№%:23967044
Жители уфимской многоэтажки не могут выходить во двор    Как выяснилось, выход во двор продан!   http://i-gazeta.com/news/region102/40683.html№%:№%:2019-01-30 16:30:03№%:№%:23967044
🔥 Отличные новости! 🔥    Этого щенка в Уфе неизвестные подонки выбросили в пакете на помойку. Но теперь у него есть новый хозяин! 😍   👉🏻 Подробнее + видео: https://bash.news/news/89045_v_ufe_shhenku_najdennomu_v_musornom_pakete_nashli_dom№%:№%:2019-01-30 16:10:02№%:№%:23967044
До конца апреля молочных кухонь в Башкирии должно стать больше    Сегодня подобное учреждение действует лишь в Уфе.    http://www.allufa.ru/news/obshchestvo/do-kontsa-aprelya-molochnykh-kukhon-v-bashkirii-dolzhno-stat-bolshe/№%:№%:2019-01-30 15:50:00№%:№%:23967044
☀ Погода в Башкирии в последний день января   Каких сюрпризов ждать:   http://www.bashinform.ru/news/1267369-v-bashkirii-voditeley-predupredili-o-dymke-na-dorogakh-/№%:№%:2019-01-30 15:30:04№%:№%:23967044
Житель Башкирии жестоко расправился с другом, расчленил тело и закопал в лесу   Позже он сам рассказал следователям остальные жуткие подробности:   https://www.ufa.kp.ru/online/news/3371079/№%:№%:2019-01-30 15:10:03№%:№%:23967044
«Cвою жизнь он воспринимает как увлекательное приключение»  Это Вадим, ему всего 12 лет и он очень надеется, что у него будет своя семья:  https://gorobzor.ru/specproekty/specproekt-shkola-priemnyh-roditeley/ischet-mamu-i-papu-vadim-12-let-shkolapriemnyhroditeley-22-01-2019№%:№%:2019-01-30 14:50:00№%:№%:23967044
В Башкирии на 38 человек увеличилось число получателей льготы на капремонт   Изменения в закон вступили в силу 1 января 2019 года  http://www.ufa.aif.ru/society/jkh/38_pensionerov_bashkirii_s_novogo_goda_imeyut_pravo_na_novuyu_lgotu№%:№%:2019-01-30 14:30:04№%:№%:23967044
Уфимцев ожидает резкое понижение температуры  Синоптики предупреждают жителей Уфы о резкой смене погоды  https://news102.ru/world/ufimtsev-ozhidaet-rezkoe-ponizhenie-temperatury/№%:№%:2019-01-30 14:10:00№%:№%:23967044
Хоккеисты хельсинкского «Йокерита» обыграли «Салават Юлаев».  Мы подготовили традиционный разбор матча с аналитикой и статистикой.  https://mkset.ru/article/general/30-01-2019/salavat-yulaev-proigral-yokeritu-prichiny-pozitivnye-momenty-i-pischa-dlya-uma?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-30 13:50:00№%:№%:23967044
"Зеленого дерби" не будет: расклад плей-офф    Реальный претендент остался один    Подробности: https://news102.ru/sport/zelenogo-derbi-ne-budet-rasklad-pley-off/№%:№%:2019-01-30 13:30:03№%:№%:23967044
